,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Sum
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1.0,0.01998625,0.02018875,0.01996975,0.01996275,0.020006,0.02008275,0.0200455,0.0199485,0.01990125,0.020081,0.020144,0.0199875,0.02004175,0.0200465,0.0200245,0.02004325,0.02012025,0.0200395,0.01988275,0.02005675,1.40055925
2,1.0,0.04705125,0.04715425,0.046991,0.047029,0.04690225,0.04714575,0.04712375,0.04705575,0.04684475,0.04714125,0.047199,0.04700875,0.047095,0.0471615,0.04697675,0.0471225,0.04721175,0.04707525,0.04690125,0.047147,1.94133775
3,0.0,0.0828285,0.0828685,0.0828135,0.08278725,0.08263325,0.082823,0.08287375,0.0829015,0.08262,0.08292225,0.08307775,0.0826785,0.0827945,0.0827915,0.08270375,0.0829815,0.08298125,0.08267775,0.0827905,0.08297725,1.65652575
4,0.0,0.0903455,0.0903785,0.0904725,0.0903625,0.09021875,0.090386,0.090449,0.09054375,0.09022725,0.0903245,0.090512,0.090265,0.0904135,0.090323,0.09027525,0.0904325,0.09047325,0.09027,0.0903785,0.09062175,1.807673
5,0.0,0.0911095,0.091245,0.09144975,0.0912105,0.09124325,0.091159,0.09120175,0.09138075,0.09104175,0.09117225,0.091234,0.0909905,0.09109075,0.09099975,0.0911865,0.0912405,0.0911125,0.090952,0.091197,0.091509,1.823726
6,0.0,0.08103325,0.08126375,0.08126225,0.081181,0.08119475,0.081036,0.0810565,0.08125275,0.08091725,0.081144,0.08123425,0.081004,0.08118425,0.0809635,0.081179,0.081022,0.081231,0.0810345,0.08107825,0.08135725,1.6226295
7,0.0,0.07406525,0.0740835,0.074296,0.074279,0.07418825,0.07389,0.0739785,0.0743305,0.0739395,0.07428725,0.07426375,0.07398725,0.0741355,0.074009,0.07420775,0.07407225,0.07421575,0.074034,0.07410525,0.0742285,1.48259675
8,0.0,0.063607,0.0635115,0.06369075,0.06374875,0.0636165,0.063276,0.0634895,0.063624,0.06351225,0.06373525,0.0637005,0.06361575,0.06374775,0.06351225,0.063757,0.06362025,0.06377175,0.0636905,0.063538,0.0635375,1.27230275
9,0.0,0.0517015,0.05160325,0.0518205,0.051718,0.05172125,0.051503,0.05152675,0.0516035,0.0517335,0.05170975,0.05161225,0.05178325,0.05174925,0.05174625,0.05161525,0.05169775,0.05166625,0.0517375,0.05152425,0.051567,1.03334
10,0.0,0.041471,0.04153325,0.0416235,0.041463,0.04153175,0.04132375,0.04135725,0.0412795,0.041507,0.041409,0.04139775,0.04157225,0.041538,0.0414565,0.0413695,0.04152475,0.041503,0.04151975,0.04137075,0.0412925,0.82904375
11,0.0,0.03186475,0.03210425,0.032116,0.0319265,0.03201725,0.03198575,0.031904,0.0318075,0.03201125,0.03186075,0.0319895,0.03203475,0.03203775,0.0319635,0.03179125,0.03192,0.03196475,0.0319205,0.03201525,0.031841,0.63907625
12,0.0,0.023826,0.02401825,0.024014,0.0238795,0.02389525,0.0239105,0.02405075,0.02383125,0.02381725,0.02377125,0.02401625,0.02385525,0.02393375,0.023817,0.02394725,0.0239295,0.02382975,0.0238975,0.02402575,0.02387925,0.47814525
13,0.0,0.01757025,0.017621,0.017493,0.01754375,0.017503,0.017629,0.0177135,0.017512,0.01754275,0.0175295,0.01764775,0.01753425,0.01752025,0.017523,0.01759225,0.01762475,0.01747675,0.01752625,0.0177645,0.0176315,0.351499
14,0.0,0.012629,0.01266075,0.01246625,0.012531,0.01251625,0.01253825,0.012692,0.0125945,0.01249775,0.012553,0.0126545,0.0125285,0.01254475,0.01255925,0.01261025,0.0126215,0.01251875,0.01257775,0.01268825,0.01263925,0.2516215
15,0.0,0.00884975,0.008883,0.00872275,0.00880525,0.008795,0.00877775,0.0088505,0.00880175,0.0087715,0.00885775,0.0087935,0.00881725,0.00877925,0.00879525,0.00882425,0.00884275,0.00880325,0.0088235,0.00884925,0.00882375,0.176267
16,0.0,0.00607775,0.00610975,0.0061,0.00604675,0.00607725,0.00600175,0.006131,0.006063,0.00604175,0.00605225,0.00605625,0.00608375,0.00608675,0.006072,0.00609625,0.006066,0.006017,0.0060795,0.006077,0.00608325,0.121419
17,0.0,0.004102,0.0041035,0.004086,0.00406175,0.00408175,0.0040755,0.004135,0.00407825,0.00414325,0.00407575,0.00407975,0.0041355,0.00410125,0.00411275,0.004101,0.00407925,0.004084,0.00411325,0.004116,0.0040895,0.081955
18,0.0,0.00267325,0.00268825,0.00273925,0.0027005,0.002702,0.00267725,0.0027595,0.00271075,0.0027615,0.00270425,0.002682,0.00274175,0.00273825,0.002753,0.00272,0.0026915,0.0026855,0.002711,0.002753,0.0027185,0.054311
19,0.0,0.00173375,0.00175875,0.00178775,0.00177125,0.0017675,0.00174725,0.00179425,0.0017825,0.001803,0.00179075,0.00174925,0.00179,0.001803,0.0018035,0.00178175,0.0017555,0.0017495,0.001772,0.00179175,0.0017685,0.0355015
20,0.0,0.00111525,0.00110675,0.001162,0.001143,0.00115,0.001104,0.00114375,0.001147,0.00112225,0.00115125,0.00113025,0.00114175,0.0011335,0.001132,0.00113175,0.0011295,0.00111075,0.001131,0.00113125,0.0011445,0.0226615
21,0.0,0.00070575,0.00070075,0.00072625,0.000718,0.00071825,0.00069875,0.00071025,0.0007255,0.0006875,0.00072225,0.00071125,0.0007045,0.00070325,0.0007085,0.000707,0.00071375,0.00071125,0.000723,0.00070325,0.000729,0.014228
22,0.0,0.0004515,0.0004315,0.0004365,0.00044875,0.0004485,0.000449,0.0004415,0.000456,0.00042925,0.00043975,0.0004445,0.000445,0.000423,0.00042225,0.000437,0.00043375,0.0004295,0.00044625,0.00043625,0.0004565,0.00880625
23,0.0,0.00026775,0.000271,0.00027025,0.000275,0.0002665,0.00027175,0.0002675,0.000276,0.00026725,0.0002685,0.00028225,0.000259,0.00026475,0.0002655,0.00028575,0.00027225,0.000263,0.00027425,0.0002615,0.0002805,0.00541025
24,0.0,0.000158,0.000161,0.000163,0.00016475,0.00015875,0.00016175,0.0001535,0.000166,0.00015975,0.00015625,0.0001655,0.000153,0.00016525,0.000161,0.000173,0.00015775,0.00015725,0.00015875,0.00015325,0.000164,0.0032115
25,0.0,8.925e-05,9.975e-05,9.825e-05,9.275e-05,9.275e-05,9.45e-05,8.85e-05,9.375e-05,9.6e-05,9e-05,9.35e-05,8.725e-05,0.00010075,9.8e-05,0.00010025,9.9e-05,9.55e-05,9.325e-05,8.825e-05,9.075e-05,0.001882
26,0.0,5.175e-05,5.75e-05,5.35e-05,5.55e-05,4.625e-05,5.65e-05,4.925e-05,5.525e-05,5.5e-05,5.4e-05,4.8e-05,5e-05,5.575e-05,5.6e-05,5.475e-05,5.425e-05,5.3e-05,5.325e-05,5.425e-05,4.95e-05,0.00106325
27,0.0,2.6e-05,2.975e-05,3e-05,3.125e-05,2.65e-05,3.025e-05,2.875e-05,3.175e-05,3.4e-05,2.825e-05,2.95e-05,3.225e-05,2.775e-05,3.15e-05,2.925e-05,2.85e-05,3e-05,2.85e-05,3.05e-05,2.725e-05,0.0005915
28,0.0,1.425e-05,1.425e-05,1.725e-05,1.75e-05,1.425e-05,1.7e-05,1.225e-05,1.7e-05,1.825e-05,1.45e-05,1.725e-05,2.025e-05,1.55e-05,1.725e-05,1.75e-05,1.475e-05,1.675e-05,1.35e-05,1.6e-05,1.6e-05,0.00032125
29,0.0,8.5e-06,7.5e-06,1e-05,8.25e-06,9.25e-06,1e-05,5.75e-06,9e-06,1.275e-05,7.75e-06,9.75e-06,9.5e-06,7.75e-06,9.75e-06,8.5e-06,7.75e-06,7.75e-06,7.75e-06,9.25e-06,9.75e-06,0.00017625
30,0.0,5e-06,6e-06,5e-06,4.5e-06,4.75e-06,5e-06,2.5e-06,4e-06,7.25e-06,4.5e-06,6e-06,5.25e-06,4.25e-06,6.5e-06,5.5e-06,4e-06,3.75e-06,4.75e-06,4.75e-06,4.5e-06,9.775e-05
31,0.0,2.5e-06,4e-06,2e-06,2.75e-06,2.25e-06,2.25e-06,1.75e-06,3.5e-06,3.5e-06,2.5e-06,2.25e-06,2.5e-06,2.75e-06,3e-06,2.5e-06,3e-06,3e-06,3.5e-06,1.75e-06,2.25e-06,5.35e-05
32,0.0,7.5e-07,1e-06,1e-06,1.75e-06,1.25e-06,7.5e-07,7.5e-07,2.25e-06,1.25e-06,1.75e-06,1e-06,1e-06,1.75e-06,2.25e-06,1e-06,1.75e-06,2.5e-06,2.25e-06,1e-06,7.5e-07,2.775e-05
33,0.0,1e-06,5e-07,0.0,1e-06,7.5e-07,2.5e-07,2.5e-07,1.5e-06,0.0,1.75e-06,5e-07,0.0,1.5e-06,5e-07,2.5e-07,7.5e-07,1.5e-06,1e-06,2.5e-07,5e-07,1.375e-05
34,0.0,7.5e-07,0.0,0.0,5e-07,5e-07,2.5e-07,0.0,2.5e-07,0.0,1.25e-06,5e-07,0.0,5e-07,1e-06,0.0,2.5e-07,5e-07,2.5e-07,2.5e-07,0.0,6.75e-06
35,0.0,5e-07,0.0,0.0,2.5e-07,2.5e-07,2.5e-07,0.0,0.0,0.0,7.5e-07,2.5e-07,2.5e-07,5e-07,7.5e-07,0.0,2.5e-07,2.5e-07,2.5e-07,0.0,0.0,4.5e-06
36,0.0,0.0,0.0,0.0,2.5e-07,2.5e-07,2.5e-07,0.0,0.0,0.0,0.0,0.0,2.5e-07,0.0,7.5e-07,0.0,0.0,0.0,5e-07,0.0,0.0,2.25e-06
37,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-07,0.0,0.0,0.0,0.0,0.0,2.5e-07,0.0,2.5e-07,0.0,0.0,0.0,5e-07,0.0,0.0,1.25e-06
38,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-07,0.0,0.0,5e-07
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-07,0.0,0.0,0.0,0.0,0.0,2.5e-07
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-07,0.0,0.0,0.0,0.0,0.0,2.5e-07
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-07,0.0,0.0,0.0,0.0,0.0,2.5e-07
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
